# Fields:
# bicluster,gene,bicluster_score,bicluster_mean,gene_bicluster_cor,col_enrich_all,col_enrich_MONDO,col_enrich_MONDO_label,col_enrich_UBERON,col_enrich_UBERON_label,col_enrich_DOID,col_enrich_DOID_label,col_enrich_NCIT,col_enrich_NCIT_label,all_col_labels
# 
4,PGBD4,0.9966254583046034,10245.716694652541,0.4549839177239983,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,PIGC,0.9966254583046034,10245.716694652541,0.4498837723502168,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,PIGO,0.9966254583046034,10245.716694652541,0.5382753386773192,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,PLEKHG4,0.9966254583046034,10245.716694652541,0.4487779181999566,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,PMS1,0.9966254583046034,10245.716694652541,0.4800477407765941,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,PMS2,0.9966254583046034,10245.716694652541,0.4553190861665441,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,POP5,0.9966254583046034,10245.716694652541,0.4327679596393033,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,PPCS,0.9966254583046034,10245.716694652541,0.4448775870527219,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,PTPN18,0.9966254583046034,10245.716694652541,0.4411769996811287,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,PWWP2A,0.9966254583046034,10245.716694652541,0.488938210272998,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,RAD17,0.9966254583046034,10245.716694652541,0.4991810547595862,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,RBM45,0.9966254583046034,10245.716694652541,0.44396670661006654,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,RBM48,0.9966254583046034,10245.716694652541,0.2910265356087487,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,RFXANK,0.9966254583046034,10245.716694652541,0.5134344705118588,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,RIC8B,0.9966254583046034,10245.716694652541,0.3352343416084419,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,RNF20,0.9966254583046034,10245.716694652541,0.3984550411000488,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,RNF219,0.9966254583046034,10245.716694652541,0.3369978700075435,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,RNF220,0.9966254583046034,10245.716694652541,0.3759455236903003,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,RPP25L,0.9966254583046034,10245.716694652541,0.47462639983885696,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
4,RWDD2B,0.9966254583046034,10245.716694652541,0.3484787578785902,UBERON:0002048,,,UBERON:0002048,LUNG,,,,,UBERON:0002048
